datetime,husum_ft,usgs_ft,usgs_cfs
2020-09-26 13:37:52,1.5,3.52,553
2020-09-25 16:45:36,1.25,3.46,519
2020-09-19 11:06:14,0.91,3.34,452
2020-08-20 07:49:53,1.05,3.39,480
2020-06-11 20:00:45,2.5,3.90,830
2020-05-31 08:39:55,2.75,4.13,992
2020-05-25 11:31:54,2.75,4.04,927
2020-05-15 22:15:31,3.0,4.18,1030
2020-02-27 18:40:53,2.75,4.17,1010
2020-02-10 19:59:32,4.2,4.91,1680
2020-02-04 17:46:13,4.25,5.00,1880
2020-02-03 13:55:15,5.0,5.26,2130
2020-02-03 10:12:22,4.7,5.31,2180
2020-02-02 15:14:23,5.3,5.48,2350
2020-02-01 17:21:27,5.0,5.55,2420
2020-01-28 09:02:12,4.5,5.48,2350
2020-01-24 11:03:44,3.75,4.94,1820
2020-01-12 01:00:35,2.5,4.18,1030
2020-01-02 12:43:44,2.5,4.11,977
2019-12-28 18:57:47,1.75,3.68,686
2019-12-22 14:59:33,3.65,4.61,1360
2019-12-21 13:36:06,4.0,4.74,1470
2019-12-13 10:04:57,1.5,3.65,667
2019-12-07 14:20:17,1.0,3.42,530
2019-10-26 09:03:56,1.5,3.58,624
2019-10-22 08:21:49,1.85,3.74,724
2019-10-19 13:05:03,2.2,3.93,850
2019-10-18 15:52:05,1.65,3.60,636
2019-10-16 23:03:24,1.0,3.40,519
2019-09-30 14:33:19,1.1,3.46,553
2019-09-19 09:48:26,1.5,3.55,606
2019-09-07 11:13:46,1.18,3.40,519
2019-08-11 16:21:20,1.48,3.53,594
2019-08-10 08:40:00,1.75,3.66,673
2019-08-01 14:35:16,1.45,3.54,600
2019-07-15 09:30:31,1.75,3.67,680
2019-06-22 12:00:45,2.05,3.83,767
2019-06-17 14:55:09,2.3,3.91,822
2019-06-05 17:42:40,2.6,4.10,946
2019-05-28 07:18:14,2.9,4.27,1070
2019-05-24 11:32:45,3.0,4.35,1130
2019-05-18 16:31:11,3.45,4.53,1280
2019-05-06 10:58:48,3.0,4.47,1240
2019-04-28 12:54:04,3.5,4.58,1330
2019-04-21 12:43:52,3.75,4.81,1530
2019-04-11 14:54:49,4.45,5.33,2010
2019-04-07 09:51:13,3.85,5.06,1700
2019-04-06 11:22:45,3.3,4.62,1310
2019-04-02 11:22:03,2.6,4.31,1070
2019-03-27 16:29:47,2.6,4.37,1120
2019-03-23 18:11:08,2.49,4.44,1170
2019-03-21 17:22:16,2.35,4.28,1050
2019-03-04 20:37:51,1.8,3.86,757
2019-02-16 11:31:51,2.0,3.95,816
2019-01-23 11:58:06,2.5,4.29,1060
2019-01-01 15:22:12,2.45,4.11,927
2018-12-22 13:08:44,2.75,4.26,1040
2018-12-18 16:30:35,3.55,4.72,1380
2018-09-04 12:12:57,1.5,3.55,624
2018-08-08 18:08:09,1.7,3.64,680
